AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,Tỉ lệ vay so với nhu cầu,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,EXT_SOURCE_1_is_missing,EXT_SOURCE_2_is_missing,EXT_SOURCE_3_is_missing,IS_RETIRED_NO_OCCUPATION,IS_WORKING_NO_OCCUPATION,TARGET
90000.0,227520.0,180000.0,1.264,0.38458200387368,0.2895727653642738,0.622922000268356,0,0,0,0,0,0
90000.0,161730.0,135000.0,1.198,0.5059979305057544,0.5142611450030571,0.5352762504724826,1,0,1,0,0,0
135000.0,728847.0,553500.0,1.3167967479674796,0.5059979305057544,0.4869061961268434,0.5989262182569273,1,0,0,0,0,1
135000.0,474183.0,391500.0,1.2111954022988505,0.5059979305057544,0.6757048421402819,0.4543210601605785,1,0,0,0,0,1
180000.0,254700.0,225000.0,1.132,0.5059979305057544,0.1545652281584149,0.5352762504724826,1,0,1,0,0,0
74250.0,225000.0,225000.0,1.0,0.5059979305057544,0.627826839482302,0.6430255641096323,1,0,0,1,0,0
157500.0,360000.0,360000.0,1.0,0.5059979305057544,0.6417316507636472,0.2636468134452008,1,0,0,0,0,0
202500.0,1350189.0,1179000.0,1.1451984732824427,0.5597189961424922,0.5487858251195121,0.5352762504724826,0,0,1,0,0,0
81000.0,225000.0,225000.0,1.0,0.1589596617846179,0.6399247330317751,0.4382813743111921,0,0,0,0,0,0
112500.0,135000.0,135000.0,1.0,0.5059979305057544,0.3280761462759954,0.6380435278721609,1,0,0,0,0,0
180000.0,891072.0,720000.0,1.2376,0.0343342445898113,0.6940223764903689,0.5352762504724826,0,0,1,0,1,0
135000.0,584766.0,472500.0,1.2376,0.5167783302643085,0.3292389467340963,0.5352762504724826,0,0,1,0,0,0
225000.0,1886850.0,1575000.0,1.198,0.7034538696079261,0.6080413930588995,0.7421816117614419,0,0,0,0,0,0
315000.0,933030.0,787500.0,1.1848,0.4609324189790337,0.7229455192120475,0.5762088360175724,0,0,0,0,0,0
117000.0,219069.0,148500.0,1.4752121212121212,0.4917739764853701,0.6102488997889228,0.6940926425266661,0,0,0,0,1,0
225000.0,679896.0,630000.0,1.0792,0.5059979305057544,0.7613517291838071,0.5352762504724826,1,0,1,0,0,0
135000.0,237024.0,180000.0,1.3168,0.3708702039193129,0.5919519944744336,0.4507472818545589,0,0,0,0,0,0
103500.0,526491.0,454500.0,1.1583960396039603,0.5059979305057544,0.6731889034536185,0.7001838506835805,1,0,0,0,0,0
81000.0,177903.0,148500.0,1.198,0.5059979305057544,0.4374241287955937,0.5352762504724826,1,0,1,0,0,0
387000.0,728460.0,675000.0,1.0792,0.2627852554176854,0.6685730524066269,0.5352762504724826,0,0,1,0,0,0
135000.0,180000.0,180000.0,1.0,0.3327009658050156,0.6360560722384354,0.5352762504724826,0,0,1,0,0,0
112500.0,382500.0,382500.0,1.0,0.5059979305057544,0.3301716630634588,0.5442347412142162,1,0,0,0,0,0
180000.0,360000.0,360000.0,1.0,0.4077505177587751,0.1673316673105274,0.7407990879702335,0,0,0,0,1,0
202500.0,1080000.0,1080000.0,1.0,0.5059979305057544,0.7820482790841764,0.6212263380626669,1,0,0,0,0,0
180000.0,669600.0,598500.0,1.118796992481203,0.5059979305057544,0.5347806801049,0.7281412993111438,1,0,0,1,0,0
135000.0,171000.0,171000.0,1.0,0.1953020948715324,0.3194728701645372,0.5919766183185521,0,0,0,0,0,0
